website,size,headquarters
https://news.microsoft.com/.,"10,001+ employees","Redmond, Washington"
https://www.microsoft.com/en-cee/msp,,"Redmond, WAA"
http://www.microsoft.com.,"10,001+ employees","Redmond, WA"
,,
http://www.microsoft.com.,51-200 employees,"Reston, VA"
http://www.microsoft.com/en-us/ ...,,
http://www.microsoft.com/en-us/ ...,,
https://www.microsoft.,,"Redmond, Washington"
http://www.microsoft.com/ ...,,"Redmond, Washington"
https://www.microsoft.com/en-au/learning/certification-overview.aspx.,"10,001+ employees",
